defensive_team,posteam,receiver,air_yards,pass_location,reception
NYG,DAL,A.Cooper,8,3,1
NYG,DAL,A.Cooper,7,2,1
NYG,DAL,A.Cooper,9,2,0
NYG,DAL,A.Cooper,4,3,0
DAL,NYG,S.Barkley,0,1,1
DAL,NYG,E.Engram,8,2,1
DAL,NYG,S.Shepard,-4,3,1
DAL,NYG,E.Engram,1,1,1
NYG,DAL,J.Witten,4,2,0
NYG,DAL,R.Cobb,4,2,1
NYG,DAL,R.Cobb,7,1,0
NYG,DAL,J.Witten,1,1,1
NYG,DAL,M.Gallup,13,1,1
NYG,DAL,E.Elliott,-4,3,1
NYG,DAL,B.Jarwin,7,2,1
NYG,DAL,B.Jarwin,22,2,1
DAL,NYG,E.Engram,-1,3,1
DAL,NYG,C.Latimer,19,3,0
DAL,NYG,S.Barkley,3,1,1
DAL,NYG,NA,-3,3,0
NYG,DAL,A.Cooper,7,1,1
NYG,DAL,M.Gallup,31,1,1
NYG,DAL,M.Gallup,9,1,1
